Index,Hero,Pick Rate ,Win Rate,Tie Rate,On Fire,Hero Type,System
153,Wrecking Ball,0.0309,0.5013,0.015,0.0324,Tank,XBOX
155,Soldier: 76,0.0304,0.5012,0.0175,0.1093,Offense,XBOX
157,Ashe,0.0295,0.5061,0.0191,0.0842,Offense,XBOX
159,Baptiste,0.0281,0.4933,0.0237,0.1231,Support,XBOX
161,Zenyatta,0.0254,0.5312,0.0179,0.0903,Support,XBOX
163,Genji,0.0224,0.4902,0.0166,0.0995,Offense,XBOX
165,Reaper,0.021,0.5054,0.0155,0.1467,Offense,XBOX
167,Hanzo,0.0187,0.4915,0.0192,0.1144,Defense,XBOX
169,Tracer,0.0173,0.497,0.012,0.0806,Offense,XBOX
171,Torbjörn,0.0155,0.5702,0.0226,0.0806,Defense,XBOX
173,Echo,0.0142,0.4953,0.0188,0.0831,Offense,XBOX
175,Winston,0.0138,0.4795,0.014,0.0565,Tank,XBOX
177,Orisa,0.0131,0.5039,0.0211,0.079,Tank,XBOX
179,Brigitte,0.0118,0.5183,0.0127,0.0664,Support,XBOX
181,Doomfist,0.0112,0.5182,0.0144,0.0725,Offense,XBOX
183,Widowmaker,0.0106,0.4899,0.0129,0.0696,Defense,XBOX
185,Sombra,0.0105,0.4703,0.0155,0.1361,Offense,XBOX
187,Pharah,0.0103,0.5114,0.0166,0.1238,Offense,XBOX
189,Symmetra,0.0084,0.5799,0.0233,0.0896,Support,XBOX
191,Mei,0.0063,0.4846,0.0181,0.0812,Defense,XBOX
193,Bastion,0.0048,0.525,0.0233,0.1425,Defense,XBOX
196,Mercy,0.103,0.5161,0.0235,0.0255,Support,SWITCH
198,Reinhardt,0.0896,0.5324,0.0226,0.111,Tank,SWITCH
200,Lúcio,0.0731,0.5371,0.0205,0.1505,Support,SWITCH
202,Moira,0.0593,0.4916,0.024,0.073,Support,SWITCH
204,Zarya,0.0568,0.5287,0.0239,0.1317,Tank,SWITCH
206,D.Va,0.0527,0.5213,0.0174,0.1235,Tank,SWITCH
208,Ana,0.0496,0.4832,0.024,0.0743,Support,SWITCH
210,Zenyatta,0.04,0.5216,0.0211,0.1151,Support,SWITCH
212,Junkrat,0.04,0.5107,0.0232,0.148,Defense,SWITCH
214,Sigma,0.0379,0.5141,0.0266,0.1391,Tank,SWITCH
216,Wrecking Ball,0.0367,0.519,0.0193,0.0373,Tank,SWITCH
218,Roadhog,0.03,0.4722,0.0192,0.1044,Tank,SWITCH
220,Torbjörn,0.0295,0.573,0.0262,0.1023,Defense,SWITCH
222,Reaper,0.0289,0.5136,0.0161,0.1621,Offense,SWITCH
224,Brigitte,0.0244,0.5325,0.0164,0.1027,Support,SWITCH
226,Baptiste,0.0232,0.4841,0.0232,0.1197,Support,SWITCH
228,McCree,0.0216,0.4901,0.0138,0.0902,Offense,SWITCH
230,Pharah,0.0215,0.5204,0.021,0.1362,Offense,SWITCH
232,Ashe,0.0199,0.5022,0.0184,0.0696,Offense,SWITCH
234,Soldier: 76,0.0195,0.4937,0.0161,0.1243,Offense,SWITCH
236,Sombra,0.0175,0.4654,0.0208,0.1439,Offense,SWITCH
238,Echo,0.0173,0.5017,0.0194,0.0944,Offense,SWITCH
240,Symmetra,0.0169,0.5859,0.0254,0.0971,Support,SWITCH
242,Winston,0.0156,0.5038,0.0164,0.0666,Tank,SWITCH
244,Genji,0.0138,0.5086,0.0186,0.0979,Offense,SWITCH
246,Tracer,0.0131,0.4909,0.0178,0.0674,Offense,SWITCH
248,Hanzo,0.0114,0.4827,0.0167,0.101,Defense,SWITCH
250,Bastion,0.011,0.5116,0.0239,0.162,Defense,SWITCH
252,Orisa,0.0094,0.5387,0.0178,0.0776,Tank,SWITCH
254,Doomfist,0.0073,0.5203,0.0219,0.0722,Offense,SWITCH
256,Mei,0.0055,0.474,0.0132,0.0871,Defense,SWITCH
258,Widowmaker,0.0037,0.4213,0.0097,0.034,Defense,SWITCH
